Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Checkout with My Account,Chrome 74.0.3729.169,,2019-06-17 10:36:48,2019-06-17 10:41:44,4m - 56.683s,FAILED
,,,,,,
Test Cases/Guest_Login_Checkout,Chrome 74.0.3729.169,,2019-06-17 10:36:48,2019-06-17 10:40:41,3m - 53.362s,FAILED
openBrowser(toString()),Chrome 74.0.3729.169,,2019-06-17 10:36:49,2019-06-17 10:36:55,6.532s,PASSED
"navigateToUrl(""http://18.138.12.239/"")",Chrome 74.0.3729.169,,2019-06-17 10:36:55,2019-06-17 10:37:20,24.990s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-06-17 10:37:20,2019-06-17 10:37:21,1.197s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-17 10:37:21,2019-06-17 10:37:31,10.033s,PASSED
"check(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/span_concat(Don  t show this popup again)_check""))",Chrome 74.0.3729.169,,2019-06-17 10:37:31,2019-06-17 10:37:31,0.145s,PASSED
"click(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/button_Close""))",Chrome 74.0.3729.169,,2019-06-17 10:37:31,2019-06-17 10:37:32,0.070s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-17 10:37:32,2019-06-17 10:37:42,10.004s,PASSED
"mouseOver(findTestObject(""add to cart/menu_cart_mini/Page_Work Wear - DRESSES - SHOP/span_SHOP""))",Chrome 74.0.3729.169,,2019-06-17 10:37:42,2019-06-17 10:37:42,0.135s,PASSED
"click(findTestObject(""add to cart/menu_cart_mini/Page_Work Wear - DRESSES - SHOP/span_Work Wear""))",Chrome 74.0.3729.169,,2019-06-17 10:37:42,2019-06-17 10:37:52,10.246s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-17 10:37:52,2019-06-17 10:37:57,5.003s,PASSED
"scrollToElement(findTestObject(""Filter_Sort/Page_Work Wear - DRESSES - SHOP/img_Quick View_imgage-additional""), 5)",Chrome 74.0.3729.169,,2019-06-17 10:37:57,2019-06-17 10:37:57,0.091s,PASSED
"mouseOver(findTestObject(""Filter_Sort/Page_Work Wear - DRESSES - SHOP/img_Quick View_imgage-additional""))",Chrome 74.0.3729.169,,2019-06-17 10:37:57,2019-06-17 10:37:57,0.068s,PASSED
"click(findTestObject(""Filter_Sort/Page_Work Wear - DRESSES - SHOP/img_Quick View_imgage-additional""))",Chrome 74.0.3729.169,,2019-06-17 10:37:57,2019-06-17 10:38:02,4.921s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-17 10:38:02,2019-06-17 10:38:12,10.004s,PASSED
