Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Receipt,Chrome 74.0.3729.169,,2019-06-14 17:06:32,2019-06-14 17:08:39,2m - 7.071s,FAILED
,,,,,,
Test Cases/Login,Chrome 74.0.3729.169,,2019-06-14 17:06:32,2019-06-14 17:07:36,1m - 3.862s,PASSED
openBrowser(toString()),Chrome 74.0.3729.169,,2019-06-14 17:06:32,2019-06-14 17:06:38,5.975s,PASSED
"navigateToUrl(""http://18.138.12.239/"")",Chrome 74.0.3729.169,,2019-06-14 17:06:38,2019-06-14 17:06:52,14.280s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-06-14 17:06:52,2019-06-14 17:06:54,1.160s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-14 17:06:54,2019-06-14 17:07:04,10.025s,PASSED
"check(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/span_concat(Don  t show this popup again)_check""))",Chrome 74.0.3729.169,,2019-06-14 17:07:04,2019-06-14 17:07:04,0.119s,PASSED
"click(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/button_Close""))",Chrome 74.0.3729.169,,2019-06-14 17:07:04,2019-06-14 17:07:04,0.072s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-14 17:07:04,2019-06-14 17:07:14,10.005s,PASSED
"click(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/span_Start shopping now _login-icon""))",Chrome 74.0.3729.169,,2019-06-14 17:07:14,2019-06-14 17:07:14,0.109s,PASSED
"click(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/a_Sign In""))",Chrome 74.0.3729.169,,2019-06-14 17:07:14,2019-06-14 17:07:16,2.384s,PASSED
"setText(findTestObject(""Object Repository/add to cart/Page_Sign In/input_Sign In_loginusername""), ""himangi.tankha@ranosys.com"")",Chrome 74.0.3729.169,,2019-06-14 17:07:16,2019-06-14 17:07:17,0.492s,PASSED
"setEncryptedText(findTestObject(""Object Repository/add to cart/Page_Sign In/input_Sign In_loginpassword""), ""8SQVv/p9jVTHLrggi8kCzw=="")",Chrome 74.0.3729.169,,2019-06-14 17:07:17,2019-06-14 17:07:17,0.171s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-14 17:07:17,2019-06-14 17:07:22,5.004s,PASSED
"click(findTestObject(""Object Repository/add to cart/Page_Sign In/button_Sign In""))",Chrome 74.0.3729.169,,2019-06-14 17:07:22,2019-06-14 17:07:26,3.753s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-14 17:07:26,2019-06-14 17:07:36,10.002s,PASSED
,,,,,,
Test Cases/Add Receipt,Chrome 74.0.3729.169,,2019-06-14 17:07:36,2019-06-14 17:08:38,1m - 2.190s,FAILED
"click(findTestObject(""My Order/Page_My Orders/img""))",Chrome 74.0.3729.169,,2019-06-14 17:07:36,2019-06-14 17:07:39,2.647s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-14 17:07:39,2019-06-14 17:07:49,10.004s,PASSED
"click(findTestObject(""Add Receipt/Page_Welcome to The Thread Theory  The Thread Theory/span_Start shopping now _login-b-icon""))",Chrome 74.0.3729.169,,2019-06-14 17:07:49,2019-06-14 17:07:49,0.069s,PASSED
"click(findTestObject(""Add Receipt/Page_Welcome to The Thread Theory  The Thread Theory/li_My Orders""))",Chrome 74.0.3729.169,,2019-06-14 17:07:49,2019-06-14 17:07:51,2.471s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-14 17:07:51,2019-06-14 17:07:56,5.004s,PASSED
"click(findTestObject(""Add Receipt/Page_My Orders/span_View Order""))",Chrome 74.0.3729.169,,2019-06-14 17:07:56,2019-06-14 17:07:59,2.426s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-14 17:07:59,2019-06-14 17:08:04,5.004s,PASSED
"click(findTestObject(""Add Receipt/Page_Order  000000052/span_Add Receipt""))",Chrome 74.0.3729.169,,2019-06-14 17:08:04,2019-06-14 17:08:06,2.511s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-14 17:08:06,2019-06-14 17:08:11,5.003s,PASSED
"click(findTestObject(""Add Receipt/Page_Payment Receipt/input__tran_datetime""))",Chrome 74.0.3729.169,,2019-06-14 17:08:11,2019-06-14 17:08:11,0.149s,PASSED
"doubleClick(findTestObject(""Add Receipt/Page_Payment Receipt/span_Prev""))",Chrome 74.0.3729.169,,2019-06-14 17:08:11,2019-06-14 17:08:11,0.115s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-14 17:08:11,2019-06-14 17:08:16,5.005s,PASSED
"click(findTestObject(""Add Receipt/Page_Payment Receipt/a_14""))",Chrome 74.0.3729.169,,2019-06-14 17:08:16,2019-06-14 17:08:32,15.406s,PASSED
"click(findTestObject(""Add Receipt/Page_Payment Receipt/button_Now""))",Chrome 74.0.3729.169,,2019-06-14 17:08:32,2019-06-14 17:08:32,0.114s,PASSED
"click(findTestObject(""Add Receipt/Page_Payment Receipt/button_Done""))",Chrome 74.0.3729.169,,2019-06-14 17:08:32,2019-06-14 17:08:32,0.065s,PASSED
"setText(findTestObject(""Add Receipt/Page_Payment Receipt/input__reference_no""), ""254178"")",Chrome 74.0.3729.169,,2019-06-14 17:08:32,2019-06-14 17:08:32,0.126s,PASSED
"setText(findTestObject(""Add Receipt/Page_Payment Receipt/input__initials""), ""Himangi"")",Chrome 74.0.3729.169,,2019-06-14 17:08:32,2019-06-14 17:08:32,0.114s,PASSED
"setText(findTestObject(""Add Receipt/Page_Payment Receipt/input__amount""), ""68"")",Chrome 74.0.3729.169,,2019-06-14 17:08:32,2019-06-14 17:08:32,0.100s,PASSED
"setText(findTestObject(""Add Receipt/Page_Payment Receipt/input__bank_name""), ""DBS Bank"")",Chrome 74.0.3729.169,,2019-06-14 17:08:32,2019-06-14 17:08:32,0.141s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-14 17:08:32,2019-06-14 17:08:37,5.003s,PASSED
"uploadFile(findTestObject(""Add Receipt/Page_Payment Receipt/input_Upload Receipt_receipt""), ""C:\Users\Ranosys\Downloads\ATM Receipt.jpg"")",Chrome 74.0.3729.169,,2019-06-14 17:08:37,2019-06-14 17:08:38,0.461s,FAILED
